金黄芒,芒果类,7.5,7.75,8.0,,,斤,2026-06-04 00:00:00
水仙芒果,芒果类,5.5,6.75,8.0,,,斤,2026-06-04 00:00:00
妃子笑,荔枝类,7.5,8.25,9.0,,,斤,2026-06-04 00:00:00
荔枝王,荔枝类,21.0,21.5,22.0,,,斤,2026-06-04 00:00:00
白糖罂,荔枝类,10.0,10.5,11.0,,,斤,2026-06-04 00:00:00
美早,樱桃类,11.0,21.5,32.0,,,斤,2026-06-04 00:00:00
布鲁克斯,樱桃类,10.0,13.5,17.0,,,斤,2026-06-04 00:00:00
沙美托,樱桃类,6.0,9.5,13.0,,,斤,2026-06-04 00:00:00
水晶,樱桃类,10.0,13.5,17.0,,,斤,2026-06-04 00:00:00
红灯,樱桃类,6.0,9.0,12.0,,,斤,2026-06-04 00:00:00
白条猪,猪肉类,6.5,6.5,6.5,瘦,,斤,2026-06-04 00:00:00
白条猪,猪肉类,5.5,5.5,5.5,肥,,斤,2026-06-04 00:00:00
前臀尖,猪肉类,6.0,6.0,6.0,瘦,,斤,2026-06-04 00:00:00
前臀尖,猪肉类,5.0,5.25,5.5,肥,,斤,2026-06-04 00:00:00
后臀尖,猪肉类,6.0,6.0,6.0,瘦,,斤,2026-06-04 00:00:00
后臀尖,猪肉类,5.0,5.25,5.5,肥,,斤,2026-06-04 00:00:00
五花肉,猪肉类,8.0,8.25,8.5,瘦,,斤,2026-06-04 00:00:00
五花肉,猪肉类,7.0,7.25,7.5,肥,,斤,2026-06-04 00:00:00
精五花,猪肉类,10.0,10.5,11.0,,,斤,2026-06-04 00:00:00
纯通脊,猪肉类,7.0,7.5,8.0,,,斤,2026-06-04 00:00:00
通脊,猪肉类,6.0,6.25,6.5,带皮,,斤,2026-06-04 00:00:00
小里脊,猪肉类,8.5,8.75,9.0,,,斤,2026-06-04 00:00:00
梅花肉,猪肉类,7.5,8.0,8.5,,,斤,2026-06-04 00:00:00
纯瘦肉,猪肉类,6.5,7.0,7.5,,,斤,2026-06-04 00:00:00
护心肉,猪肉类,10.0,14.0,18.0,鲜,,斤,2026-06-04 00:00:00
前肘,猪肉类,6.0,6.5,7.0,,,斤,2026-06-04 00:00:00
后肘,猪肉类,5.0,5.5,6.0,,,斤,2026-06-04 00:00:00
月牙骨,猪肉类,16.0,16.5,17.0,,,斤,2026-06-04 00:00:00
猪尾巴,猪肉类,40.0,46.0,52.0,,,斤,2026-06-04 00:00:00
猪蹄,猪肉类,15.0,15.5,16.0,,,斤,2026-06-04 00:00:00
纯排骨,猪肉类,15.0,15.5,16.0,,,斤,2026-06-04 00:00:00
纯腔骨,猪肉类,4.0,4.5,5.0,,,斤,2026-06-04 00:00:00
腔排骨,猪肉类,9.0,9.25,9.5,,,斤,2026-06-04 00:00:00
梅花骨,猪肉类,5.0,5.5,6.0,,,斤,2026-06-04 00:00:00
棒骨,猪肉类,5.0,5.5,6.0,,,斤,2026-06-04 00:00:00
猪头,猪肉类,7.0,7.25,7.5,,,斤,2026-06-04 00:00:00
猪口条,猪肉类,10.0,10.0,10.0,,,斤,2026-06-04 00:00:00
猪耳,猪肉类,20.0,20.5,21.0,,,斤,2026-06-04 00:00:00
猪脑,猪肉类,15.0,16.0,17.0,,,斤,2026-06-04 00:00:00
猪肚,猪肉类,15.0,15.5,16.0,,,斤,2026-06-04 00:00:00
猪板油,猪肉类,4.5,4.75,5.0,,,斤,2026-06-04 00:00:00
肥膘肉,猪肉类,3.0,3.25,3.5,,,斤,2026-06-04 00:00:00
猪腰子,猪肉类,11.0,11.0,11.0,,,斤,2026-06-04 00:00:00
猪心,猪肉类,6.0,6.0,6.0,,,斤,2026-06-04 00:00:00
猪肝,猪肉类,3.0,3.25,3.5,,,斤,2026-06-04 00:00:00
猪肺,猪肉类,2.5,2.5,2.5,,,个,2026-06-04 00:00:00
猪皮,猪肉类,2.0,2.5,3.0,,,斤,2026-06-04 00:00:00
猪肠头,猪肉类,13.0,13.0,13.0,,,斤,2026-06-04 00:00:00
猪肠,猪肉类,11.0,11.0,11.0,,,斤,2026-06-04 00:00:00
整牛,牛肉类,28.5,29.0,29.5,,,斤,2026-06-04 00:00:00
牛前腱,牛肉类,35.0,35.0,35.0,,,斤,2026-06-04 00:00:00
牛后腱,牛肉类,35.0,35.0,35.0,,,斤,2026-06-04 00:00:00
牛前腿,牛肉类,28.0,28.5,29.0,,,斤,2026-06-04 00:00:00
牛后腿,牛肉类,28.0,28.5,29.0,,,斤,2026-06-04 00:00:00
牛腰窝,牛肉类,31.0,31.5,32.0,,,斤,2026-06-04 00:00:00
肥牛,牛肉类,27.0,31.0,35.0,,,斤,2026-06-04 00:00:00
牛柳,牛肉类,33.0,33.0,33.0,里脊,,斤,2026-06-04 00:00:00
精牛柳,牛肉类,35.0,35.0,35.0,,,斤,2026-06-04 00:00:00
牛腩,牛肉类,28.0,28.5,29.0,,,斤,2026-06-04 00:00:00
牛林,牛肉类,28.0,28.5,29.0,,,斤,2026-06-04 00:00:00
牛金钱腱,牛肉类,48.0,49.0,50.0,,,斤,2026-06-04 00:00:00
牛筋头巴脑,牛肉类,26.0,26.25,26.5,,,斤,2026-06-04 00:00:00
牛宝,牛肉类,17.0,17.5,18.0,,,斤,2026-06-04 00:00:00
牛鞭,牛肉类,45.0,47.5,50.0,,,斤,2026-06-04 00:00:00
牛油,牛肉类,5.0,5.0,5.0,,,斤,2026-06-04 00:00:00
牛心,牛肉类,6.0,6.0,6.0,,,斤,2026-06-04 00:00:00
牛舌,牛肉类,23.0,23.5,24.0,,,斤,2026-06-04 00:00:00
牛骨,牛肉类,3.5,3.75,4.0,,,斤,2026-06-04 00:00:00
牛排骨,牛肉类,27.0,27.5,28.0,,,斤,2026-06-04 00:00:00
牛蹄筋,牛肉类,23.0,23.5,24.0,,,斤,2026-06-04 00:00:00
牛板筋,牛肉类,28.0,28.0,28.0,,,斤,2026-06-04 00:00:00
牛心管,牛肉类,30.0,30.0,30.0,,,斤,2026-06-04 00:00:00
牛肚,牛肉类,14.0,14.5,15.0,,,斤,2026-06-04 00:00:00
牛腰子,牛肉类,9.0,9.0,9.0,,,斤,2026-06-04 00:00:00
牛尾,牛肉类,22.0,23.5,25.0,,,斤,2026-06-04 00:00:00
牛百叶,牛肉类,28.0,29.0,30.0,,,斤,2026-06-04 00:00:00
牛上脑,牛肉类,28.0,28.5,29.0,,,斤,2026-06-04 00:00:00
整羊,羊肉类,26.0,26.0,26.0,,,斤,2026-06-04 00:00:00
去骨羊前腿,羊肉类,33.0,33.0,33.0,,,斤,2026-06-04 00:00:00
去骨羊后腿,羊肉类,35.0,35.5,36.0,,,斤,2026-06-04 00:00:00
羊腰窝,羊肉类,32.0,32.5,33.0,,,斤,2026-06-04 00:00:00
羊肉片,羊肉类,25.0,30.5,36.0,,,斤,2026-06-04 00:00:00
羊腰子,羊肉类,10.0,10.5,11.0,挂油,,个,2026-06-04 00:00:00
羊蝎子,羊肉类,10.0,11.0,12.0,普通,,斤,2026-06-04 00:00:00
羊蝎子,羊肉类,20.0,22.5,25.0,精品,,斤,2026-06-04 00:00:00
羊排骨,羊肉类,25.0,25.5,26.0,,,斤,2026-06-04 00:00:00
羊尾巴油,羊肉类,7.0,7.5,8.0,,,斤,2026-06-04 00:00:00
羊小腿,羊肉类,19.0,20.0,21.0,羊棒,,斤,2026-06-04 00:00:00
羊腱子肉,羊肉类,35.0,35.5,36.0,,,斤,2026-06-04 00:00:00
羊蹄,羊肉类,12.0,12.0,12.0,水褪,,斤,2026-06-04 00:00:00
羊头,羊肉类,11.0,11.0,11.0,,,斤,2026-06-04 00:00:00
羊肝,羊肉类,7.0,7.0,7.0,,,斤,2026-06-04 00:00:00
羊心,羊肉类,17.0,17.0,17.0,,,斤,2026-06-04 00:00:00
羊肠,羊肉类,14.0,14.0,14.0,,,斤,2026-06-04 00:00:00
羊肚,羊肉类,16.0,16.5,17.0,,,斤,2026-06-04 00:00:00
羊鞭,羊肉类,110.0,110.0,110.0,,,斤,2026-06-04 00:00:00
羊宝,羊肉类,33.0,33.0,33.0,,,斤,2026-06-04 00:00:00
羊棒骨,羊肉类,8.0,8.0,8.0,,,斤,2026-06-04 00:00:00
羊上脑,羊肉类,35.0,35.5,36.0,,,斤,2026-06-04 00:00:00
羊腩,羊肉类,27.0,27.5,28.0,,,斤,2026-06-04 00:00:00
羊里脊,羊肉类,33.0,34.5,36.0,,,斤,2026-06-04 00:00:00
淘汰鸡,禽蛋类,14.0,14.0,14.0,干净膛,,斤,2026-06-04 00:00:00
淘汰鸡,禽蛋类,13.0,13.0,13.0,净膛,,斤,2026-06-04 00:00:00
仔鸡,禽蛋类,6.5,6.75,7.0,净膛,,斤,2026-06-04 00:00:00
肉鸡,禽蛋类,6.5,6.75,7.0,,,斤,2026-06-04 00:00:00
鸡胸,禽蛋类,6.5,6.75,7.0,,,斤,2026-06-04 00:00:00
鸡翅,禽蛋类,12.0,12.0,12.0,,,斤,2026-06-04 00:00:00
鸡翅尖,禽蛋类,7.0,7.0,7.0,,,斤,2026-06-04 00:00:00
鸡翅中,禽蛋类,26.0,26.0,26.0,,,斤,2026-06-04 00:00:00
鸡翅根,禽蛋类,7.0,7.0,7.0,,,斤,2026-06-04 00:00:00
鸡边腿,禽蛋类,6.0,6.25,6.5,,,斤,2026-06-04 00:00:00
鸡排腿,禽蛋类,7.0,7.0,7.0,,,斤,2026-06-04 00:00:00
鸡琵琶腿,禽蛋类,7.0,7.0,7.0,,,斤,2026-06-04 00:00:00
鸡胗,禽蛋类,11.0,12.5,14.0,,,斤,2026-06-04 00:00:00
